target_label,recommendation_blessure
Critique__Zone_Aerobie__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Aerobie__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Aerobie__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Anaerobie__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Anaerobie__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Anaerobie__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Basse__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas. | Protection à l'atterrissage : utilisez systématiquement le matelas réglementaire et pratiquez les techniques d'amortissement (fléchissement genou >90°)."
Critique__Zone_Basse__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Basse__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Max__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Max__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Max__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Faible__Zone_Aerobie__high_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Faible__Zone_Aerobie__long_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Faible__Zone_Aerobie__sprint,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Faible__Zone_Anaerobie__high_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Faible__Zone_Anaerobie__long_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Faible__Zone_Anaerobie__sprint,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Faible__Zone_Basse__high_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Faible__Zone_Basse__long_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Faible__Zone_Basse__sprint,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées. | Accélération élevée (9.1 m/s²) : risque de claquage musculaire — réduisez les sprints maximaux à 2×/semaine avec récupération complète."
Faible__Zone_Max__high_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Faible__Zone_Max__long_jump,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Faible__Zone_Max__sprint,"Risque faible : maintenez les étirements dynamiques pré-séance (10 min) et statiques post-séance (15 min) pour prévenir les contractures. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Modéré__Zone_Aerobie__high_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas. | Protection à l'atterrissage : utilisez systématiquement le matelas réglementaire et pratiquez les techniques d'amortissement (fléchissement genou >90°)."
Modéré__Zone_Aerobie__long_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Modéré__Zone_Aerobie__sprint,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Modéré__Zone_Anaerobie__high_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Modéré__Zone_Anaerobie__long_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Modéré__Zone_Anaerobie__sprint,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Modéré__Zone_Basse__high_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Modéré__Zone_Basse__long_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Modéré__Zone_Basse__sprint,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées. | Accélération élevée (9.1 m/s²) : risque de claquage musculaire — réduisez les sprints maximaux à 2×/semaine avec récupération complète."
Modéré__Zone_Max__high_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Modéré__Zone_Max__long_jump,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Modéré__Zone_Max__sprint,"Risque modéré : intégrez un échauffement progressif de 15 min, du renforcement des muscles stabilisateurs (core, chevilles) et du gainage 3×/semaine. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Élevé__Zone_Aerobie__high_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas. | Protection à l'atterrissage : utilisez systématiquement le matelas réglementaire et pratiquez les techniques d'amortissement (fléchissement genou >90°)."
Élevé__Zone_Aerobie__long_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Élevé__Zone_Aerobie__sprint,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Élevé__Zone_Anaerobie__high_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Élevé__Zone_Anaerobie__long_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Élevé__Zone_Anaerobie__sprint,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Élevé__Zone_Basse__high_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Élevé__Zone_Basse__long_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Élevé__Zone_Basse__sprint,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Élevé__Zone_Max__high_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Élevé__Zone_Max__long_jump,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Élevé__Zone_Max__sprint,"Risque élevé : réduisez le volume d'entraînement de 20–25%, évitez les séances back-to-back et prévoyez 48h de récupération entre les efforts intenses. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
