target_label,recommendation_entrainement
Critique__Zone_Aerobie__Bonne__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Réception saut en hauteur : renforcez les quadriceps et les ischio-jambiers (squats excentriques, nordic curl)."
Critique__Zone_Aerobie__Bonne__long_jump__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Course d'élan saut en longueur : régularisez les appuis des 6 dernières foulées avant la planche d'appel.
Critique__Zone_Aerobie__Bonne__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Critique__Zone_Aerobie__Excellente__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Critique__Zone_Aerobie__Excellente__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
Critique__Zone_Aerobie__Excellente__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Critique__Zone_Aerobie__Insuffisante__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Critique__Zone_Aerobie__Insuffisante__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage."
Critique__Zone_Aerobie__Insuffisante__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Foulée courte (1.56 m) : renforcez les fléchisseurs de hanche et pratiquez les fentes dynamiques pour allonger la foulée."
Critique__Zone_Anaerobie__Bonne__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Critique__Zone_Anaerobie__Bonne__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1)."
Critique__Zone_Anaerobie__Bonne__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Critique__Zone_Anaerobie__Excellente__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Critique__Zone_Anaerobie__Excellente__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Critique__Zone_Anaerobie__Excellente__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Critique__Zone_Anaerobie__Insuffisante__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Critique__Zone_Anaerobie__Insuffisante__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
Critique__Zone_Anaerobie__Insuffisante__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Critique__Zone_Basse__Bonne__high_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Réception saut en hauteur : renforcez les quadriceps et les ischio-jambiers (squats excentriques, nordic curl)."
Critique__Zone_Basse__Bonne__long_jump__normal,Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1).
Critique__Zone_Basse__Bonne__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Critique__Zone_Basse__Excellente__high_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Critique__Zone_Basse__Excellente__long_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Course d'élan saut en longueur : régularisez les appuis des 6 dernières foulées avant la planche d'appel."
Critique__Zone_Basse__Excellente__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Foulée courte (1.42 m) : renforcez les fléchisseurs de hanche et pratiquez les fentes dynamiques pour allonger la foulée."
Critique__Zone_Basse__Insuffisante__high_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Critique__Zone_Basse__Insuffisante__long_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Critique__Zone_Basse__Insuffisante__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Cadence de pas faible (2.12 Hz) : pratiquez les ladder drills et les sprints en côte pour augmenter la fréquence de foulée. | Accélération faible : intégrez 3×6 répétitions de démarrages explosifs depuis l'arrêt complet."
Critique__Zone_Max__Bonne__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Réception saut en hauteur : renforcez les quadriceps et les ischio-jambiers (squats excentriques, nordic curl)."
Critique__Zone_Max__Bonne__long_jump__critical,FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1).
Critique__Zone_Max__Bonne__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Critique__Zone_Max__Excellente__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Critique__Zone_Max__Excellente__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
Critique__Zone_Max__Excellente__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Cadence de pas faible (2.19 Hz) : pratiquez les ladder drills et les sprints en côte pour augmenter la fréquence de foulée. | Foulée courte (1.33 m) : renforcez les fléchisseurs de hanche et pratiquez les fentes dynamiques pour allonger la foulée. | Accélération faible : intégrez 3×6 répétitions de démarrages explosifs depuis l'arrêt complet."
Critique__Zone_Max__Insuffisante__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Critique__Zone_Max__Insuffisante__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Critique__Zone_Max__Insuffisante__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Cadence de pas faible (2.47 Hz) : pratiquez les ladder drills et les sprints en côte pour augmenter la fréquence de foulée. | Accélération faible : intégrez 3×6 répétitions de démarrages explosifs depuis l'arrêt complet."
Faible__Zone_Aerobie__Bonne__high_jump__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre.
Faible__Zone_Aerobie__Bonne__long_jump__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection.
Faible__Zone_Aerobie__Bonne__sprint__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Cadence de pas faible (2.85 Hz) : pratiquez les ladder drills et les sprints en côte pour augmenter la fréquence de foulée.
Faible__Zone_Aerobie__Excellente__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Aerobie__Excellente__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Aerobie__Excellente__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Cadence de pas faible (2.89 Hz) : pratiquez les ladder drills et les sprints en côte pour augmenter la fréquence de foulée."
Faible__Zone_Aerobie__Insuffisante__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Faible__Zone_Aerobie__Insuffisante__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Faible__Zone_Aerobie__Insuffisante__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Faible__Zone_Anaerobie__Bonne__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Faible__Zone_Anaerobie__Bonne__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
Faible__Zone_Anaerobie__Bonne__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Faible__Zone_Anaerobie__Excellente__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens)."
Faible__Zone_Anaerobie__Excellente__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Anaerobie__Excellente__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Faible__Zone_Anaerobie__Insuffisante__high_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Anaerobie__Insuffisante__long_jump__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage."
Faible__Zone_Anaerobie__Insuffisante__sprint__normal,"Zone anaérobie active : limitez à 2 séances intensives/semaine, alternez avec des séances de récupération active (marche, vélo léger). | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Faible__Zone_Basse__Bonne__high_jump__normal,Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Vol saut en hauteur : améliorez la coordination bras-jambes (drills de saut à l'approche) et la flexibilité lombaire (étirements ciblés quotidiens).
Faible__Zone_Basse__Bonne__long_jump__normal,Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection.
Faible__Zone_Basse__Bonne__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Faible__Zone_Basse__Excellente__high_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Basse__Excellente__long_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Basse__Excellente__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Départ sprint : travaillez les blocs de départ et la poussée initiale (exercices de sled push, drills de fréquence de pas)."
Faible__Zone_Basse__Insuffisante__high_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Basse__Insuffisante__long_jump__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Course d'élan saut en longueur : régularisez les appuis des 6 dernières foulées avant la planche d'appel."
Faible__Zone_Basse__Insuffisante__sprint__normal,"Augmentez progressivement l'intensité pour atteindre la zone aérobie (60–80% FCmax) : intégrez des intervalles courts à allure modérée. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Faible__Zone_Max__Bonne__high_jump__critical,FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre.
Faible__Zone_Max__Bonne__long_jump__critical,FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Course d'élan saut en longueur : régularisez les appuis des 6 dernières foulées avant la planche d'appel.
Faible__Zone_Max__Bonne__sprint__critical,FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1).
Faible__Zone_Max__Excellente__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Max__Excellente__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage."
Faible__Zone_Max__Excellente__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Max__Insuffisante__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Max__Insuffisante__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
